v8-version,6,9,427,23,0
code-creation,Builtin,3,1985,0x7ff7fd21d8a0,1384,RecordWrite
code-creation,Builtin,3,2005,0x7ff7fd21de20,44,AdaptorWithExitFrame
code-creation,Builtin,3,2010,0x7ff7fd21de60,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2016,0x7ff7fd21dea0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2020,0x7ff7fd21dfa0,172,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2026,0x7ff7fd21e060,229,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2031,0x7ff7fd21e160,254,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2036,0x7ff7fd21e260,130,CallBoundFunction
code-creation,Builtin,3,2040,0x7ff7fd21e300,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2045,0x7ff7fd21e380,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2050,0x7ff7fd21e400,105,Call_ReceiverIsAny
code-creation,Builtin,3,2055,0x7ff7fd21e480,992,CallProxy
code-creation,Builtin,3,2060,0x7ff7fd21e860,78,CallVarargs
code-creation,Builtin,3,2064,0x7ff7fd21e8c0,1388,CallWithSpread
code-creation,Builtin,3,2069,0x7ff7fd21ee40,1344,CallWithArrayLike
code-creation,Builtin,3,2074,0x7ff7fd21f380,103,CallForwardVarargs
code-creation,Builtin,3,2079,0x7ff7fd21f400,103,CallFunctionForwardVarargs
code-creation,Builtin,3,2086,0x7ff7fd21f480,26,ConstructFunction
code-creation,Builtin,3,2093,0x7ff7fd21f4a0,130,ConstructBoundFunction
code-creation,Builtin,3,2100,0x7ff7fd21f540,28,ConstructedNonConstructable
code-creation,Builtin,3,2107,0x7ff7fd21f560,86,Construct
code-creation,Builtin,3,2114,0x7ff7fd21f5c0,78,ConstructVarargs
code-creation,Builtin,3,2120,0x7ff7fd21f620,1412,ConstructWithSpread
code-creation,Builtin,3,2125,0x7ff7fd21fbc0,1424,ConstructWithArrayLike
code-creation,Builtin,3,2129,0x7ff7fd220160,142,ConstructForwardVarargs
code-creation,Builtin,3,2134,0x7ff7fd220200,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2139,0x7ff7fd2202a0,245,JSConstructStubGeneric
code-creation,Builtin,3,2144,0x7ff7fd2203a0,164,JSBuiltinsConstructStub
code-creation,Builtin,3,2149,0x7ff7fd220460,705,FastNewObject
code-creation,Builtin,3,2154,0x7ff7fd220740,351,FastNewClosure
